Name,Neighborhood,Address,Cuisine,Price
Fat + Flour,Culver City,"11739 W Washington Blvd, Los Angeles, CA 90066, USA",Bakery,$$
Moo's Craft Barbecue,Lincoln Heights,"2118 N Broadway, Los Angeles, CA 90031, USA",Barbecue,$$
Chi Spacca,Hancock Park,"6610 Melrose Ave, Los Angeles, CA 90038, USA",Italian,$$$
Sora Craft Kitchen,Downtown L.A.,"1109 E 12th St, Los Angeles, CA 90021, USA",Turkish,$$
RVR,Venice,"1305 Abbot Kinney Blvd, Venice, CA 90291, USA",Japanese,$$
Tsubaki,Echo Park,"1356 Allison Ave, Los Angeles, CA 90026, USA",Japanese,$$
Pizzeria Sei,Pico-Robertson,"8781 W Pico Blvd, Los Angeles, CA 90035, USA",Pizza,$$
Knife Pleat,Costa Mesa,"3333 Bristol St #3001, Costa Mesa, CA 92626, USA",French,$$$$
Pasjoli,Santa Monica,"2732 Main St, Santa Monica, CA 90405, USA",French,$$$
Vespertine,Culver City,"3599 Hayden Ave, Culver City, CA 90232, USA",American,$$$$
Al Baraka Restaurant,Anaheim,"413 S Brookhurst St, Anaheim, CA 92804, USA",Palestinian,$$
Vin Folk,Hermosa Beach,"1501 Hermosa Ave, Hermosa Beach, CA 90254, USA",Eclectic,$$
Sushi Inaba,Torrance,"20920 Hawthorne Blvd, Torrance, CA 90503, USA",Japanese,$$$$
Two Hommés,Inglewood,"902 N La Brea Ave, Inglewood, CA 90302, USA",West African,$$
Saffy's,East Hollywood,"4845 Fountain Ave, Los Angeles, CA 90029, USA",Middle Eastern,$$$
Kismet,Los Feliz,"4648 Hollywood Blvd, Los Angeles, CA 90027, USA",Californian,$$
Sonoratown,Mid-Wilshire,"5610 San Vicente Blvd, Los Angeles, CA 90019, USA",Sonoran,$
Orsa & Winston,Downtown L.A.,"FARMERS AND MERCHANTS BANK BUILDING, 122 4th St, Los Angeles, CA 90013, USA",Italian,$$$$
Sushi Kaneyoshi,Downtown L.A.,"250 1st St B1, Los Angeles, CA 90012, USA",Japanese,$$$$
Mélisse,Santa Monica,"1104 Wilshire Blvd, Santa Monica, CA 90401, USA",American,$$$$
République,Hancock Park,"624 S La Brea Ave, Los Angeles, CA 90036, USA",American,$$$
Damian,Downtown L.A.,"2132 E 7th Pl, Los Angeles, CA 90021, USA",Mexican,$$$
Camélia,Downtown L.A.,"1850 Industrial St, Los Angeles, CA 90021, USA",French,$$$
Funke,Beverly Hills,"9388 S Santa Monica Blvd, Beverly Hills, CA 90210, USA",Italian,$$$
Perilla L.A.,Chinatown,"1027 Alpine St BLDG E, Los Angeles, CA 90012, USA",Korean,$
Barbacoa Ramirez,Arleta,"14263 Hoyt St, Arleta, CA 91331, USA",Mexican,$
Bavel,Downtown L.A.,"500 Mateo St #102, Los Angeles, CA 90013, USA",Middle Eastern,$$$
Quarter Sheets,Echo Park,"1305 Portia St, Los Angeles, CA 90026, USA",Pizza,$$
Destroyer,Culver City,"3578 Hayden Ave, Culver City, CA 90232, USA",Breakfast/Lunch,$$
Seline,Santa Monica,"3110 Main St Ste 132, Santa Monica, CA 90401, USA",Californian,$$$$
Azizam,Silver Lake,"2943 Sunset Blvd, Los Angeles, CA 90026, USA",Persian,$
n/naka,Palms,"3455 Overland Ave, Los Angeles, CA 90034, USA",Japanese,$$$$
Anajak Thai,Sherman Oaks,"14704 Ventura Blvd, Sherman Oaks, CA 91403, USA",Thai,$$$
Restaurant Ki,Downtown L.A.,"111 San Pedro St, Los Angeles, CA 90012, USA",Korean,$$$$
Antico Nuovo,Larchmont,"4653 Beverly Blvd, Los Angeles, CA 90004, USA",Italian,$$
Morihiro,Echo Park,"1115 Sunset Blvd Ste 100, Los Angeles, CA 90012, USA",Japanese,$$$$
Providence,Hollywood,"5955 Melrose Ave, Los Angeles, CA 90038, USA",Seafood,$$$$
Hayato,Downtown L.A.,"1320 E 7th St #126, Los Angeles, CA 90021, USA",Japanese,$$$$
Dunsmoor,Glassell Park,"3501 Eagle Rock Blvd, Los Angeles, CA 90065, USA",American,$$$
Baroo,Downtown L.A.,"905 E 2nd St #109, Los Angeles, CA 90012, USA",Korean,$$$
Kato,Downtown L.A.,"777 S Alameda St Building 1, Suite 114, Los Angeles, CA 90021, USA",Taiwanese,$$$$
Mercado La Paloma,Historic South-Central,"3655 S Grand Ave # 280, Los Angeles, CA 90007, USA",Mexican,$
